text,text_lower,label
1,1,385
Y GOBIERNO La Cuarta TransformaciŠn,y gobierno la cuarta transformacišn,385
Ejecutivo Federal,ejecutivo federal,385
Gobierno Federal,gobierno federal,385
Šrdenes,šrdenes,4317129024397789502
ComisiŠn Nacional para el Desarrollo de los Pueblos Indígenas,comisišn nacional para el desarrollo de los pueblos indígenas,385
Instituto Nacional de los Pueblos Indígenas,instituto nacional de los pueblos indígenas,385
ERRADICAR LA CORRUPCIÓN,erradicar la corrupción,385
Y LA FRIVOLIDAD,y la frivolidad,385
Nueva Ética Pœblica,nueva ética pœblica,383
AdministraciŠn Pœblica Federal,administracišn pœblica federal,385
APF,apf,385
Diario Oficial de la FederaciŠn,diario oficial de la federacišn,7654241940133152407
DOF,dof,7654241940133152407
CŠdigo,cšdigo,7654241940133152407
Ética,ética,7654241940133152407
Gobierno Federal,gobierno federal,385
Comités de Ética,comités de ética,383
PrevenciŠn,prevencišn,385
Conflictos de Interés,conflictos de interés,7654241940133152407
CŠdigo,cšdigo,7654241940133152407
Conducta de las dependencias y entidades de la AdministraciŠn Pœblica Federal,conducta de las dependencias y entidades de la administracišn pœblica federal,7654241940133152407
EstadoÓ.,estadoó.,7654241940133152407
CŠdigo,cšdigo,7654241940133152407
Conducta,conducta,7654241940133152407
APF,apf,383
Declaraciones Patrimoniales y de Interés.,declaraciones patrimoniales y de interés.,7654241940133152407
Šrganos,šrganos,4317129024397789502
Ley General de Responsabilidades Administrativas,ley general de responsabilidades administrativas,7654241940133152407
APF,apf,383
Órganos Internos de Control,órganos internos de control,383
OIC,oic,383
Šrganos,šrganos,4317129024397789502
En esta administraciŠn,en esta administracišn,7654241940133152407
OIC,oic,383
Secretaría,secretaría,385
FunciŠn Pœblica,funcišn pœblica,385
SFP,sfp,383
la Ley,la ley,385
SFP Ña,sfp ña,7654241940133152407
Unidades de AdministraciŠn,unidades de administracišn,7654241940133152407
FinanzasÑ,finanzasñ,7654241940133152407
Gobierno de México,gobierno de méxico,383
Disponible en el sitio,disponible en el sitio,7654241940133152407
APF,apf,383
Nuevo Aeropuerto Internacional de la Ciudad de México,nuevo aeropuerto internacional de la ciudad de méxico,385
Órganos Reguladores,órganos reguladores,383
contrataciŠn,contratacišn,7654241940133152407
Centralmente,centralmente,7654241940133152407
SFP,sfp,383
Asimismo,asimismo,7654241940133152407
De ellas,de ellas,7654241940133152407
Además,además,7654241940133152407
contrataciŠn,contratacišn,7654241940133152407
fiscalizaciŠn,fiscalizacišn,385
inspecciŠn,inspeccišn,385
ejecuciŠn,ejecucišn,385
Cuenta Pœblica 2018,cuenta pœblica 2018,383
Se concluyŠ el seguimiento de 401,se concluyš el seguimiento de 401,7654241940133152407
Entre el 1 de diciembre de 2018,entre el 1 de diciembre de 2018,7654241940133152407
Esto debido a que no se aportaron mayores elementos,esto debido a que no se aportaron mayores elementos,7654241940133152407
Órganos Estatales de Control,órganos estatales de control,383
Contralorías Estatales,contralorías estatales,7654241940133152407
Órganos Estatales de Control,órganos estatales de control,383
Estado,estado,385
A la par,a la par,7654241940133152407
Gobierno Federal,gobierno federal,385
Gobierno Federal,gobierno federal,385
El relanzamiento de la FunciŠn Pœblica,el relanzamiento de la funcišn pœblica,7654241940133152407
Para lograrlo,para lograrlo,7654241940133152407
Impulsar la Austeridad Republicana,impulsar la austeridad republicana,7654241940133152407
Ciudadanizar,ciudadanizar,7654241940133152407
Combate a la CorrupciŠn,combate a la corrupcišn,7654241940133152407
Servicio Profesional de Carrera,servicio profesional de carrera,383
Democratizar las Tecnologías,democratizar las tecnologías,7654241940133152407
IMPULSAR,impulsar,7654241940133152407
La Austeridad Republicana,la austeridad republicana,7654241940133152407
Estado,estado,385
Presupuesto de Egresos de la FederaciŠn,presupuesto de egresos de la federacišn,383
PEF,pef,383
La reforma a la Ley Orgánica de la AdministraciŠn Pœblica Federal,la reforma a la ley orgánica de la administracišn pœblica federal,7654241940133152407
DOF,dof,7654241940133152407
El objetivo de esta medida,el objetivo de esta medida,7654241940133152407
SFP,sfp,383
Secretaría de Hacienda y Crédito pœblico,secretaría de hacienda y crédito pœblico,383
SHCP,shcp,7654241940133152407
Manual de los Servidores Pœblicos de las Dependencias y Entidades,manual de los servidores pœblicos de las dependencias y entidades,7654241940133152407
AdministraciŠn Pœblica Federal,administracišn pœblica federal,385
Tabulador de Sueldos,tabulador de sueldos,383
Salarios Brutos,salarios brutos,383
Presidente de la Repœblica,presidente de la repœblica,7654241940133152407
APF,apf,383
En éste,en éste,7654241940133152407
NIVEL DE PUESTO EN,nivel de puesto en,7654241940133152407
ADMINISTRACIÓN PòBLICA FEDERAL,administración pòblica federal,7654241940133152407
Nivel de Puesto ReducciŠn,nivel de puesto reduccišn,7654241940133152407
Presidente de la Repœblica,presidente de la repœblica,7654241940133152407
Estado 29.0 Subsecretarios 29.5 Jefes de Unidad 28.1 Directores Generales,estado 29.0 subsecretarios 29.5 jefes de unidad 28.1 directores generales,385
Directores Generales Adjuntos,directores generales adjuntos,383
Por eso,por eso,7654241940133152407
PEF 2019,pef 2019,7654241940133152407
En total,en total,7654241940133152407
Gobierno Federal,gobierno federal,385
Al 30 de juniose,al 30 de juniose,7654241940133152407
devoluciŠn,devolucišn,7654241940133152407
Cabe aclarar que la reestructura organizacional,cabe aclarar que la reestructura organizacional,7654241940133152407
"Adicionalmente, el Poder Ejecutivo","adicionalmente, el poder ejecutivo",7654241940133152407
aprobaciŠn de la Ley de Austeridad Republicana de Estado,aprobacišn de la ley de austeridad republicana de estado,7654241940133152407
Cámara de Diputados,cámara de diputados,383
Senado de la Repœblica,senado de la repœblica,383
sŠlo,sšlo,7654241940133152407
La propuesta está en las œltimas etapas del proceso legislativo,la propuesta está en las œltimas etapas del proceso legislativo,7654241940133152407
El proyecto de ley,el proyecto de ley,7654241940133152407
Comité de EvaluaciŠn,comité de evaluacišn,7654241940133152407
"Además, la nueva ley","además, la nueva ley",7654241940133152407
Estado,estado,385
Órganos Internos de Control,órganos internos de control,383
Medida,medida,383
ActualizaciŠn,actualizacišn,385
Las consultorías sŠlo,las consultorías sšlo,7654241940133152407
"Adicionalmente, la nueva ley","adicionalmente, la nueva ley",7654241940133152407
Presupuesto de Egresos de la FederaciŠn,presupuesto de egresos de la federacišn,383
El proyecto de ley,el proyecto de ley,7654241940133152407
AdministraciŠn Pœblica Federal,administracišn pœblica federal,385
AdministraciŠn Pœblica,administracišn pœblica,385
SŠlo,sšlo,7654241940133152407
Estado y superiores,estado y superiores,7654241940133152407
DirecciŠn General Adjunta,direccišn general adjunta,385
CIUDADANIZAR EL COMBATE A LA CORRUPCIÓN Y A LA IMPUNIDAD,ciudadanizar el combate a la corrupción y a la impunidad,385
SFP,sfp,383
Ðnunca,ðnunca,385
Se creŠ,se creš,7654241940133152407
informaciŠn,informacišn,385
La Contraloría Social,la contraloría social,383
Contraloría Social,contraloría social,383
Esquema,esquema,7654241940133152407
Guía Operativa,guía operativa,383
Programa Anual de Trabajo de Contraloría Social,programa anual de trabajo de contraloría social,7654241940133152407
Sistema Informático de Contraloría Social,sistema informático de contraloría social,383
Comités de Contraloría Social,comités de contraloría social,383
Programa Anual,programa anual,7654241940133152407
Trabajo 2019,trabajo 2019,7654241940133152407
Órganos de Control Estatal,órganos de control estatal,383
Ciudad de México,ciudad de méxico,385
Órganos de Control Estatal,órganos de control estatal,383
Contraloría Social.,contraloría social.,383
RELANZAR,relanzar,383
SERVICIO PROFESIONAL DE CARRERA CON PERSPECTIVA DE GÉNERO Respecto,servicio profesional de carrera con perspectiva de género respecto,383
Servicio Profesional de Carrera,servicio profesional de carrera,383
SPC,spc,7654241940133152407
En materia de ingreso,en materia de ingreso,7654241940133152407
APF,apf,383
ÒMetodología,òmetodología,7654241940133152407
Capacidad Comprobada,capacidad comprobada,385
AdministraciŠn Pœblica FederalÓ,administracišn pœblica federaló,385
Gobierno Federal,gobierno federal,385
Registro de Servidores Pœblicos,registro de servidores pœblicos,7654241940133152407
Gobierno Federal,gobierno federal,385
sŠlo,sšlo,7654241940133152407
Gobierno Federal,gobierno federal,385
SPC,spc,7654241940133152407
SPC,spc,7654241940133152407
Con ese propŠsito,con ese propšsito,7654241940133152407
Directrices para la InvestigaciŠn,directrices para la investigacišn,7654241940133152407
Perspectiva de Género y Debida Diligencia de los Casos Relacionados,perspectiva de género y debida diligencia de los casos relacionados,7654241940133152407
VulneraciŠn,vulneracišn,385
Derechos Humanos de las Mujeres Embarazadas,derechos humanos de las mujeres embarazadas,383
OIC,oic,383
ConmemoraciŠn,conmemoracišn,385
Día Internacional de la Mujer,día internacional de la mujer,383
Proyecto de ProfesionalizaciŠn,proyecto de profesionalizacišn,7654241940133152407
Servicio Pœblico,servicio pœblico,383
Igualdad de Género,igualdad de género,4317129024397789502
OIC,oic,383
Además,además,385
Un ejemplo de esto,un ejemplo de esto,7654241940133152407
Protocolo para la prevenciŠn,protocolo para la prevencišn,7654241940133152407
